timestamp,ride_id,vehicle_type,scheduled_pickup_time,auction_start_time,auction_amount,auction_currency,pickup_location,dropoff_location,distance,duration,meet_and_greet,has_driver_instruction,is_available,can_accept,meets_criteria,rejection_reason
2025-05-25 12:04:34,4792415,MPV-4,2025-05-29 16:50,2025-05-25 18:00,73.48,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Le Vert Boutique Hotel, 21078, Jalan Permai 2, Genting Permai Avenue, 69000 Genting Highlands, Pahang, Malaysia",105215,5217,True,False,True,False,False,Cannot accept
2025-05-25 12:04:34,4792358,MPV-5,2025-05-30 19:35,2025-05-25 18:00,90.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Premier Sky Pool At Star klcc, Colony, Level 5, Star Boulevard, 1, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilaya",66391,3242,True,False,True,False,False,Cannot accept
2025-05-25 12:04:35,4792417,Sedan,2025-05-27 15:25,2025-05-25 11:12,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Geo Bukit Rimau Apartment, Pangsapuri Geo Bukit Rimau, Jalan Sungai Burung 32/68, Seksyen 32, Bukit Rimau, 40460 Shah Alam, Sela",60112,2823,True,False,True,False,False,Cannot accept
2025-05-25 12:04:35,4792359,MPV-5,2025-06-01 19:00,2025-05-25 18:00,90.00,MYR,"Premier Sky Pool At Star klcc, Colony, Level 5, Star Boulevard, 1, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilaya","Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia",66818,3246,False,False,True,False,False,Cannot accept
2025-05-25 12:04:35,4792417,Sedan,2025-05-27 15:25,2025-05-25 11:12,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Geo Bukit Rimau Apartment, Pangsapuri Geo Bukit Rimau, Jalan Sungai Burung 32/68, Seksyen 32, Bukit Rimau, 40460 Shah Alam, Sela",60112,2823,True,False,True,False,False,Cannot accept
2025-05-25 12:04:35,4792276,Minibus-7,2025-06-07 15:00,2025-05-25 18:00,160.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Trion @ KL, Jalan Dua, Chan Sow Lin, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",61051,3012,True,True,True,False,False,Cannot accept
2025-05-25 12:04:35,4792417,Sedan,2025-05-27 15:25,2025-05-25 11:12,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Geo Bukit Rimau Apartment, Pangsapuri Geo Bukit Rimau, Jalan Sungai Burung 32/68, Seksyen 32, Bukit Rimau, 40460 Shah Alam, Sela",60112,2823,True,False,True,False,False,Cannot accept
2025-05-25 12:04:36,4699087,Sedan,2025-06-25 09:30,2025-05-25 18:00,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Maleisië","The RuMa Hotel and Residences, Top Hat Restaurant, 7, Jalan Kia Peng, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kual",64793,3194,True,False,True,False,False,Cannot accept
2025-05-25 12:04:36,4792417,Sedan,2025-05-27 15:25,2025-05-25 11:12,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Geo Bukit Rimau Apartment, Pangsapuri Geo Bukit Rimau, Jalan Sungai Burung 32/68, Seksyen 32, Bukit Rimau, 40460 Shah Alam, Sela",60112,2823,True,False,True,False,False,Cannot accept
2025-05-25 12:04:36,4792358,MPV-5,2025-05-30 19:35,2025-05-25 18:00,90.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Premier Sky Pool At Star klcc, Colony, Level 5, Star Boulevard, 1, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilaya",66391,3242,True,False,True,False,False,Cannot accept
